,SMILES,pki
119,CCCn1c(=O)c2nc(-c3cnn(Cc4cccc(OC)c4)c3)[nH]c2n(CCC)c1=O,7.1549
120,Cc1ccccc1-c1cc(C(=O)NCc2ncccc2C)nc(N)n1,7.55284
121,CCCn1c(=O)c2c(nc(-c3ccc(OC)c(OC)c3)n2C)n(CCC)c1=O,7.7
122,COc1ccccc1Cn1nnc2c(-c3ccco3)nc(N)nc21,8.26761
123,Cc1ccc(-c2nc3cc(C(=O)N4CCCC4)cc(N)n3n2)o1,7.76955
124,Cc1cc(C)nc(NC(=[NH2+])NCCc2ccsc2)n1,6.39794
125,CCOc1ccccc1-c1cc(C(=O)NCc2ncccc2C)nc(N)n1,6.97062
126,CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,7.4437
127,Cn1cc2c(nc(N)n3nc(-c4ccccc4)nc23)n1,6.91721
128,COc1ccc2c(c1)CC[NH+](CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)C2,8.60206
129,Nc1nc(-c2ccco2)c2nnn(Cc3cccs3)c2n1,8.63827
130,CN(C)c1ccc2c(O)cc(-c3ccccc3)nc2n1,5.762165
131,Cc1ccc(-c2cc(C(=O)NCc3cscn3)nc(N)n2)o1,8.18709
132,Nc1nc2c(cnn2CCCc2ccc(C[NH3+])cc2)c2nc(-c3ccco3)nn12,9.88606
133,CN(C)c1nc(-c2cn[nH]c2)c2sccc2n1,5.51159
134,Cc1ccc2c(N(C)C)cc(-c3ccccc3)[nH+]c2n1,5.1549
135,Cc1ccc(N2C(=O)c3cccc(N)c3C2=O)cc1,5.5376
136,N#Cc1ccc(NC(=O)C2CC2)nc1-c1ccco1,7.92082
137,COCC1CCCN1c1cc(NC(=O)NC(C)C)nc(-n2nc(C)cc2C)n1,7.36653
138,Cn1cc2c(nc(N)n3nc(-c4ccc(Cl)cc4)nc23)n1,5.69465
139,Cc1ccc(-c2ccc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2)cn1,9.22185
140,Nc1nc(-c2ccco2)c2ncn(CCCc3ccccc3)c2n1,8.16749
141,Cc1cccnc1CNC(=O)c1cc(-c2ccccc2Cl)nc(N)n1,7.61979
142,CCCn1c(=O)c2nc(-c3cnn(CCc4ccccc4)c3)[nH]c2n(CCC)c1=O,6.24413
143,Nc1cccc(Cn2ncc3c(-c4ccco4)nc(N)nc32)c1,8.39794
144,CCCOc1cncc2[nH]c3c(=O)n(CCC)c(=O)n(CCC)c3c12,6.78516
145,Cc1ccc2c(c1)-c1nc(N)nc(-c3ccc(CO)o3)c1C2,8.58503
146,Nc1nc2c(cnn2CCc2ccc(-c3cccnc3)cc2)c2nc(-c3ccco3)nn12,8.82391
147,Nc1nc(-c2ccco2)c2cnn(Cc3ccccc3Cl)c2n1,8.04576
148,CCc1nc(-c2nc(C)cs2)c2sccc2n1,8.67778
149,COc1cc(O)c2c(c1)OC(c1ccc(O)cc1)CC2=O,4.4
150,COCC1CCCN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,8.04576
151,Nc1cc(C(=O)N2CCSCC2)cn2nc(-c3ccc(Br)o3)nc12,7.13668
152,Cc1ccc(C(=O)c2nc(NC(C)c3ccccn3)nc3ccsc23)s1,6.92812
153,Nc1nc(-c2ccc(Br)o2)c2c(n1)-c1cc(N3CCCC3)ccc1C2,8.40894
154,Nc1nc2c(cnn2CC[NH+]2Cc3ccccc3C2)c2nc(-c3ccco3)nn12,7.83268
155,O=C(Nc1ccc(C2N=NN=N2)c(-c2ccco2)n1)C1CC1,5.78569
156,Nc1nc(-c2cccc(CO)c2)cc2nn(Cc3ccccc3)c(=O)n12,5.76955
157,CCCOc1cc(NC(=O)CC)nc(SCCC)n1,7.14874
158,CC(=O)Nc1ccc2c(O)c(C(=O)NCc3ccccc3)cnc2n1,5.16877
159,N#Cc1c(N)nc(-c2ccccc2)nc1-c1ccc2c(c1)OCO2,7.3536
160,Nc1nc(-c2ccco2)c2cnn(Cc3cccc(Cl)c3)c2n1,9.0
161,Cn1c(=O)c2[nH]c(-c3cccc(OCC[NH+](C)C)c3)nc2n(C)c1=O,6.39794
162,Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccccc3Cl)c2n1,9.0
163,CCC(C)n1c(Br)nc2c(N)ncnc21,6.40894
164,Cn1c(=O)c2[nH]c(-c3ccccc3)c(O)c2n(C)c1=O,5.83268
165,Nc1ncnc2c1nc(Br)n2CC(O)CO,5.39794
166,Cc1[nH]c2nc(-c3ccccc3)nc(NC3Cc4ccccc4C3O)c2c1C,5.49241
167,CCCN1C(=O)N2CC(C(C)C)[NH+]=C2c2[nH]c(C34CCC(O)(CC3)CC4)nc21,5.79588
168,Nc1nc2c(cnn2CC[NH+]2CCc3ccc(Br)cc3CC2)c2nc(-c3ccco3)nn12,8.95861
169,COCC1CC(OC)CN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,7.881605
170,Nc1nc2c(cnn2CC[NH+]2CCOCC2)c2nn(Cc3ccccc3)c(=O)n12,8.04576
171,Cc1cccnc1CNC(=O)c1cc(-c2cccc(C#N)c2)nc(N)n1,7.5376
172,Cc1ccc2c(c1)-c1nc(N)nc(-c3ccccc3)c1C2,7.95861
173,Nc1nc(-c2ccccc2)nc2nn(CCc3ccccc3)cc12,6.0
174,Nc1nc2c(cnn2CCCc2ccccc2)c2nc(-c3ccco3)nn12,8.92082
175,Cc1ccc(-c2cc(C(=O)NCc3ccc(C)n3C)nc(N)n2)o1,8.30103
176,COc1cc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC[NH+]1CCCCC1,6.1549
177,Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccccc3)nn12,6.70774
178,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,8.64397
179,Cc1ccc(-c2cc(-c3ccco3)nc(N)c2C#N)o1,7.82391
180,CCOCC1CCCN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,6.34199
181,Nc1nc(C(=O)NCc2ccco2)cc(-c2ccco2)n1,7.85387
