,SMILES,pki
131,Cc1ccc(-c2cc(C(=O)NCc3ccccn3)nc(C(C)C)n2)o1,5.76321
132,COc1cccc(CNC(=O)c2cc(-c3ccco3)nc(N)n2)c1,8.21467
133,CCCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,9.42022
134,CCOc1cc(-c2cc(-c3ccc(O)cc3)nc(N)c2C#N)ccc1O,6.57349
135,CNc1ncnc2c1ncn2C1SC(C(=O)NC2CC2)C(O)C1O,6.79317
136,Nc1nc(-c2ccccc2)c2c(n1)-c1ccccc1CC2,6.76447
137,Nc1cc(C(=O)N2CCSCC2)cc2nc(-c3ccc(Br)o3)nn12,8.04576
138,Cc1cc2c(nc(-n3nccn3)n2C)c(N)n1,6.92082
139,CCCCC#Cc1nc(N)c2ncn(C3SCC(O)C3O)c2n1,8.14327
140,Nc1nc(-c2ccccc2)c2ncn(C(=O)NCc3ccccc3)c2n1,7.76955
141,N#Cc1c(-c2cccs2)cc(-c2ccco2)nc1N,8.85387
142,Cc1ccc(Nc2nc(N)nc(CSC(C)C(=O)N3CCCCCC3)n2)cc1,4.48149
143,N#Cc1c(-c2ccc3c(c2)OCO3)cc(-c2ccco2)nc1N,7.58503
144,COc1ccccc1Cn1c(=O)n(-c2cccc(C#N)c2)c2nc(NC3CC3)ncc21,5.5872
145,CC(C)(C)CNC(=O)c1ccc(C(=O)Nc2nccs2)cc1,6.95861
146,O=C(NC1CCCCC1)c1nc(NCc2cccnc2)nc2ccsc12,5.50962
147,COc1c(C(=O)Nc2nccs2)ccc(NC(=O)CC(C)(C)C)c1F,7.92082
148,Cc1ccc2c(N)cc(-c3ccccc3)[nH+]c2n1,6.67778
149,Cc1ccc2nc(Nc3nc(C)cc(C)n3)[nH]c2c1,5.88606
150,Nc1nc(C(=O)NCc2ccccn2)cc(-c2ccco2)n1,8.36653
151,Cc1ccc2c(c1)-c1nc(N)nc(-c3ccc(Br)o3)c1C2,8.37675
152,CCCn1c(=O)c2[nH]c(-c3ccc(O)cc3)cc2n(CCC)c1=O,7.31876
153,Cc1cccc(CNC(=O)n2cnc3c(-c4ccco4)nc(N)nc32)c1,9.0
154,Cc1ccc2c(O)c(CC(=O)NCc3ccccc3)cnc2n1,6.06048
155,CCCN1C(=O)N2CC(CC)[NH+]=C2c2[nH]c(C34CCC(O)(CC3)CC4)nc21,5.35655
156,Cc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,6.89963
157,Nc1nc(-c2ccco2)c2ncn(Cc3ccccc3CS(=O)(=O)c3ccccc3)c2n1,8.50864
158,C=CCOc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,8.04576
159,Nc1cc(C(=O)N2CCCC2)cn2nc(-c3cccs3)nc12,6.70553
160,COc1ccc(CCNC(=[NH2+])Nc2nc(C)cc(C)n2)cc1,6.04576
161,COc1ccc(CCOc2cc3nc(-c4ccco4)nn3c(N)n2)cc1,8.55284
162,Nc1nc(-c2ccco2)c2cnn(C(=O)NCc3ccccc3)c2n1,9.0
163,Nc1nc(C(=O)NCc2ccncc2)nc(-c2ccco2)n1,6.37675
164,CN(C)c1nc(-c2ccco2)c2sccc2n1,7.22185
165,OC1CSC(n2cnc3c(NCc4cccc(Cl)c4)ncnc32)C1O,6.35655
166,CCCn1c(=O)c2[nH]c(-c3ccc(S(C)(=O)=O)cc3)c(O)c2n(CCC)c1=O,7.55284
167,CC(=O)NCCNc1[nH]c(-c2ccccc2)nc2nc(C)c(C)c1-2,7.63827
168,CCn1c(=O)n(CC2CC2)c(=O)c2[nH]c(-c3cnn(Cc4ccccc4)c3)nc21,6.74232
169,Cc1nc(C(=O)c2cccs2)c2sccc2n1,7.5376
170,Cc1cc(Cn2nnc3c(-c4ccco4)nc(N)nc32)ccc1N,8.88606
171,Nc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,9.65758
172,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,8.8
173,Oc1nc2ccc(Cl)cc2n2nc(-c3cccs3)nc12,5.18509
174,Oc1cc(-c2ccccc2)nc2nc(F)ccc12,5.56864
175,Cc1ccc(-c2nc3cc(C(=O)N4CCCCC4)cc(N)n3n2)o1,7.85387
176,O=c1c2c(nc3ccccn32)n(Cc2ccccc2)c(=O)n1CC1CC1,6.61618
177,CN(CCc1ccccc1)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,7.30103
178,COc1ccccc1-c1cc(C(=O)NCc2ncccc2C)nc(N)n1,7.52288
179,Cc1[nH]c2nc(-c3ccccc3)nc(NCCN3CCNC3=O)c2c1C,6.66756
180,Cc1ccc(-c2cc(C(=O)NCc3nccn3C(C)C)nc(N)n2)o1,8.25964
181,Nc1nc(-c2ncc[nH]2)c2cnn(Cc3ccccc3F)c2n1,5.68069
182,Nc1ncnc2c1nc(Br)n2CCCO,7.07058
183,Cc1cc2c(c(C)c1O)c1ncccc1n2C,4.35556
184,COc1ccccc1Cn1cnc2c(-c3ccco3)nc(N)nc21,7.65758
185,Cc1ccc(-c2cc(C(=O)NCc3ccc[nH]3)nc(N)n2)o1,8.69897
186,CCOC(=O)c1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,8.39794
187,Nc1nc(-c2ccco2)c2cnn(Cc3ccccc3F)c2n1,8.39794
188,CCCn1c(=O)c2nc(C34CCC(C(=O)NCC(=O)OC)(CC3)CC4)[nH]c2n(CCC)c1=O,6.16685
189,CC(C)NC(=O)c1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,7.96658
190,CCn1ccnc1CNC(=O)c1cc(-c2ccc(C)o2)nc(N)n1,8.45593
