,Chi0,Chi1,Chi10,Chi2,Chi3,Chi3c,Chi3ch,Chi4,Chi4c,Chi4ch,Chi4pc,Chi5,Chi5ch,Chi6,Chi6ch,Chi7,Chi8,Chi9,Chiv0,Chiv1,Chiv10,Chiv2,Chiv3,Chiv3c,Chiv3ch,Chiv4,Chiv4c,Chiv4ch,Chiv4pc,Chiv5,Chiv5ch,Chiv6,Chiv6ch,Chiv7,Chiv8,Chiv9,dchi0,dchi1,dchi2,dchi3,dchi4,knotp,knotpv,mChi1
558,9.19,5.67,0.0,4.673,4.554,0.933,0.0,3.435,0.083,0.0,3.212,1.453,0.0,0.838,0.059,0.443,0.208,0.0,7.385,4.19,0.0,2.96,2.563,0.537,0.0,1.522,0.062,0.0,1.522,0.529,0.0,0.228,0.021,0.106,0.039,0.0,1.805,1.48,1.713,1.991,1.913,2.28,0.986,0.472
559,18.476,13.348,1.867,11.278,9.728,1.143,0.0,8.218,0.0,0.0,3.12,7.158,0.0,5.342,0.25,4.286,3.367,2.544,16.198,10.275,0.454,7.75,6.04,0.81,0.0,4.471,0.0,0.0,1.924,3.412,0.0,2.304,0.106,1.574,1.069,0.712,2.279,3.073,3.529,3.688,3.747,1.977,1.113,0.445
560,19.673,13.58,1.356,12.127,10.714,1.755,0.0,9.104,0.0,0.0,4.643,7.07,0.175,5.143,0.17,3.754,2.803,1.947,15.381,9.186,0.152,7.01,4.918,0.888,0.0,3.506,0.0,0.0,1.679,2.221,0.074,1.302,0.047,0.773,0.467,0.267,4.292,4.394,5.116,5.796,5.599,2.888,0.791,0.438
561,27.325,18.777,5.49,17.797,16.923,3.089,0.0,15.825,0.0,0.0,8.979,14.013,0.221,11.954,0.218,10.48,8.826,7.134,21.748,12.925,0.855,10.544,8.412,1.533,0.0,6.685,0.0,0.0,3.646,5.01,0.09,3.633,0.09,2.698,1.915,1.313,5.578,5.852,7.254,8.511,9.14,5.89,2.114,0.417
562,17.485,12.258,0.926,10.327,8.523,1.144,0.0,6.768,0.0,0.0,2.733,5.603,0.0,3.752,0.235,2.773,1.967,1.423,14.689,9.015,0.129,6.368,4.367,0.495,0.0,2.912,0.0,0.0,0.967,1.969,0.0,1.117,0.074,0.678,0.395,0.238,2.796,3.243,3.959,4.156,3.856,1.589,0.473,0.454
563,11.052,6.938,0.193,7.541,4.56,2.387,0.0,4.204,0.354,0.0,2.188,3.126,0.096,2.152,0.068,1.607,1.132,0.57,8.024,4.674,0.021,3.792,2.457,0.582,0.0,1.883,0.011,0.0,0.853,1.168,0.068,0.679,0.024,0.385,0.218,0.078,3.029,2.265,3.749,2.102,2.322,0.199,0.271,0.434
564,20.665,14.597,1.627,13.386,11.853,1.965,0.0,10.213,0.0,0.0,5.017,8.254,0.096,6.162,0.28,4.602,3.277,2.301,17.364,10.963,0.41,8.58,6.695,0.957,0.0,4.944,0.0,0.0,2.194,3.651,0.023,2.293,0.157,1.547,1.004,0.656,3.301,3.634,4.806,5.159,5.27,3.051,1.237,0.429
565,23.656,16.491,1.725,15.066,13.028,2.26,0.0,10.872,0.0,0.0,5.413,8.843,0.118,6.397,0.295,4.917,3.462,2.33,19.747,12.29,0.41,9.493,7.28,1.071,0.0,5.432,0.0,0.0,2.403,3.799,0.091,2.433,0.124,1.662,1.07,0.655,3.909,4.202,5.573,5.748,5.44,3.154,1.332,0.434
566,14.372,9.724,0.581,8.123,6.421,1.03,0.0,5.196,0.0,0.0,2.101,3.778,0.118,2.697,0.068,1.905,1.336,0.838,12.07,7.067,0.094,4.943,3.31,0.431,0.0,2.198,0.0,0.0,0.757,1.36,0.051,0.851,0.024,0.523,0.319,0.164,2.302,2.657,3.181,3.112,2.998,1.071,0.326,0.463
567,15.742,10.465,0.801,10.172,7.903,2.327,0.0,6.559,0.289,0.0,4.114,5.078,0.096,3.619,0.185,2.718,1.872,1.317,12.761,8.62,0.145,7.108,4.675,1.37,0.0,3.064,0.102,0.0,2.174,1.952,0.036,1.302,0.06,0.864,0.477,0.278,2.981,1.846,3.064,3.228,3.495,1.787,0.805,0.436
568,13.949,9.758,0.697,8.566,7.218,1.159,0.0,5.971,0.0,0.0,2.625,4.272,0.262,3.189,0.068,2.338,1.631,1.138,11.854,7.373,0.137,5.64,4.232,0.548,0.0,3.066,0.0,0.0,1.142,1.652,0.217,1.043,0.024,0.678,0.405,0.244,2.095,2.385,2.926,2.985,2.905,1.466,0.593,0.444
569,10.715,6.52,0.0,6.076,4.261,1.237,0.0,3.177,0.0,0.0,2.318,1.94,0.096,1.454,0.0,0.734,0.394,0.199,7.336,3.593,0.0,2.456,1.59,0.326,0.0,0.877,0.0,0.0,0.651,0.411,0.029,0.229,0.0,0.079,0.028,0.01,3.379,2.927,3.619,2.67,2.3,1.081,0.326,0.466
