,kappa1,kappa2,kappa3,kappam1,kappam2,kappam3,phi
223,14.0,5.778,13.091,13.82,5.64,12.912,5.567485714285715
224,20.045,12.426,9.037,18.499,11.075,7.883,9.312564772727272
225,12.071,6.478,4.388,10.57,5.269,3.414,3.978095
226,5.0,1.0,0.0,5.318,1.191,228.907,1.2667476
227,18.056,5.998,2.556,16.853,5.372,2.239,3.482089076923077
228,10.516,3.539,1.455,8.735,2.568,0.971,1.6022485714285715
229,7.639,1.837,0.666,7.326,1.701,0.605,1.132866
230,13.005,5.551,2.525,10.594,4.036,1.695,2.375410222222222
231,8.1,2.56,1.12,7.052,1.968,0.798,1.3878336
232,17.811,7.087,3.665,15.542,5.693,2.813,3.8469828695652173
233,11.077,6.453,4.688,9.726,5.315,3.706,3.976437692307693
234,18.0,8.992,9.6,16.54,7.787,8.328,7.1553877777777775
235,12.0,7.639,5.325,11.45,7.118,4.868,6.791758333333333
236,13.959,5.413,2.612,12.055,4.281,1.96,2.716181842105263
237,22.203,9.647,4.924,19.782,8.077,3.971,5.509628068965517
238,20.727,7.788,4.899,18.15,6.257,3.809,4.367867307692307
239,18.367,7.935,3.575,16.647,6.832,2.97,4.549292159999999
240,17.053,9.834,6.817,16.125,9.05,6.168,7.680592105263158
241,15.879,7.051,3.505,13.797,5.676,2.68,3.7291320000000003
242,13.432,4.281,2.56,12.301,3.667,2.137,2.6533980588235293
243,9.551,3.63,1.646,8.601,3.053,1.321,2.0199117692307693
244,8.1,2.939,1.75,7.417,2.507,1.439,1.8594419000000002
245,14.062,7.35,6.37,12.609,6.194,5.279,4.881259125
246,15.059,6.805,5.018,13.794,5.881,4.239,4.771912588235295
247,16.056,6.963,4.566,16.444,7.247,4.786,6.62053711111111
248,16.844,5.817,2.922,14.985,4.786,2.315,3.259918636363636
249,7.639,2.803,1.451,6.488,2.134,1.032,1.258672
250,10.516,4.245,2.173,8.496,2.991,1.407,1.8151097142857144
251,17.811,6.064,2.909,16.573,5.374,2.516,3.8723174782608694
252,20.28,10.156,5.538,17.948,8.5,4.459,5.650296296296296
253,15.059,9.0,5.928,13.385,7.57,4.782,5.960261764705883
254,15.523,6.481,2.811,13.919,5.488,2.287,3.4721578181818185
255,7.639,2.025,1.111,7.601,2.007,1.099,1.386837
256,13.959,5.413,2.38,11.516,3.975,1.621,2.4092684210526314
257,14.41,4.836,3.322,13.5,4.319,2.922,3.23925
258,11.484,4.888,2.397,9.58,3.648,1.656,2.329856
259,23.281,10.156,5.331,23.192,10.094,5.291,8.670372148148148
260,9.551,3.63,1.646,9.023,3.305,1.462,2.293924230769231
261,24.684,10.948,5.713,21.503,8.891,4.45,5.7934294848484855
262,16.372,7.32,4.023,15.047,6.4,3.414,4.815040000000001
263,14.062,6.074,4.424,12.848,5.212,3.708,4.185236
264,12.071,4.68,3.592,10.858,3.881,2.905,3.0099927142857146
265,20.314,7.709,5.762,19.149,6.977,5.156,5.566773875
266,18.34,7.266,4.521,17.208,6.536,3.994,5.1123403636363625
267,18.367,8.347,3.453,15.674,6.577,2.553,4.12351592
268,8.592,3.395,1.562,7.373,2.644,1.137,1.6245176666666667
269,16.467,7.087,3.52,14.546,5.871,2.799,3.7130246086956524
270,16.844,7.266,3.44,15.033,6.085,2.761,4.157991136363636
271,23.659,10.543,4.924,20.513,8.426,3.722,5.96008751724138
272,22.68,10.347,5.796,21.098,9.252,5.065,6.971382
273,18.056,7.111,2.951,16.333,6.1,2.445,3.8319730769230764
274,18.34,7.713,4.308,17.444,7.11,3.905,5.637583636363636
275,13.005,5.97,2.963,11.384,4.882,2.308,3.0875937777777778
276,17.811,6.379,3.819,16.969,5.889,3.481,4.344801782608696
277,17.416,5.75,3.021,16.344,5.183,2.676,3.5296230000000004
278,28.994,11.623,5.814,26.366,9.983,4.842,7.311438277777778
279,7.111,2.722,2.0,5.614,1.772,1.184,1.1053342222222222
280,13.432,5.325,3.062,11.475,4.102,2.236,2.76885
281,12.0,9.091,11.111,11.47,8.566,10.588,8.187668333333335
282,8.1,2.939,1.55,6.864,2.172,1.056,1.4908608
283,39.0,25.69,23.274,36.19,23.11,20.781,21.44489487179487
284,13.959,6.185,3.191,11.932,4.86,2.373,3.05208
285,19.048,11.552,8.265,17.342,10.08,7.022,8.32416
286,16.467,5.772,2.217,15.213,5.082,1.894,3.3614115652173915
287,21.24,6.498,2.395,19.925,5.833,2.1,4.150804464285715
288,17.053,7.695,5.479,16.504,7.29,5.146,6.332324210526316
289,10.516,3.539,2.02,9.484,2.963,1.636,2.0072208571428574
290,21.302,11.658,6.585,19.188,9.988,5.427,7.665989759999999
291,18.05,10.688,6.549,16.215,9.126,5.367,7.398904499999999
292,14.41,6.438,3.75,13.764,5.988,3.436,4.578824000000001
293,13.432,5.76,3.484,12.087,4.861,2.843,3.456171
