,AWeight,PC1,PC2,PC3,PC4,PC5,PC6,Weight,naccr,naro,ncarb,ncobr,ncocl,ncof,ncoi,ndb,ndonr,nhal,nhet,nhev,nhyd,nnitro,noxy,nphos,nring,nrot,nsb,nsulph,nta,ntb
77,12.344,13,17,23,30,33,32,148.124,1,10,10,0,0,0,0,0,2,0,2,12,12,2,0,0,2,2,3,0,24,0
78,13.507,8,10,10,11,10,6,108.056,2,6,4,0,0,0,0,2,2,0,4,8,4,2,2,0,1,0,0,2,12,0
79,14.006,3,3,0,0,0,0,56.024,1,0,1,0,0,0,0,1,2,0,3,4,4,2,1,0,0,0,2,1,8,0
80,12.75,30,47,66,98,146,195,344.237,5,11,22,0,0,0,0,2,1,0,5,27,26,0,5,0,4,2,17,5,53,0
81,13.824,11,15,17,18,16,14,152.065,4,5,5,0,0,0,0,2,3,0,6,11,6,2,4,0,1,2,4,4,17,0
82,13.435,14,19,23,24,27,26,188.094,4,6,9,0,0,0,0,1,3,0,5,14,10,0,5,0,1,3,7,5,24,0
83,13.099,11,14,16,16,16,11,144.085,2,6,8,0,0,0,0,1,2,0,3,11,8,0,3,0,1,2,4,3,19,0
84,12.715,18,25,32,38,49,53,216.151,2,11,14,0,0,0,0,1,1,0,3,17,14,0,3,0,2,3,6,3,31,0
85,12.937,32,48,72,105,141,177,362.232,7,12,21,0,0,0,0,1,0,0,7,28,21,1,6,0,5,3,19,6,49,0
86,12.296,16,22,31,42,55,55,172.146,2,16,12,0,0,0,0,0,0,0,2,14,8,2,0,0,3,0,0,0,22,0
87,13.151,15,23,33,42,48,50,184.114,6,10,8,0,0,0,0,2,0,0,6,14,10,4,2,0,2,0,3,2,24,0
88,12.736,24,34,49,68,85,106,280.202,5,10,16,0,0,0,0,2,1,0,6,22,24,4,2,0,3,5,12,2,46,0
89,13.788,29,43,58,77,100,126,372.277,7,16,17,0,0,0,0,4,2,0,10,27,20,4,5,0,3,6,9,5,47,0
90,12.842,13,18,24,30,35,30,154.104,2,11,9,0,0,0,0,1,2,0,3,12,7,1,2,0,2,0,1,2,19,0
91,13.268,27,38,52,66,86,98,331.697,2,17,21,0,1,0,0,1,0,1,4,25,21,2,1,0,3,4,9,1,46,0
92,13.675,16,23,28,36,39,36,205.118,2,11,10,0,0,3,0,0,0,3,5,15,7,2,0,0,2,1,5,0,22,0
93,13.856,28,43,59,78,100,125,360.266,8,16,16,0,0,0,0,5,1,0,10,26,16,4,5,0,3,4,7,5,42,0
94,12.809,11,15,20,25,26,23,128.094,4,10,6,0,0,0,0,0,1,0,4,10,6,4,0,0,2,0,1,0,16,0
95,13.631,23,33,42,57,74,74,286.247,3,17,16,0,0,0,0,2,2,0,5,21,13,1,3,0,3,3,4,3,34,0
96,12.486,23,35,46,64,86,104,262.211,5,16,16,0,0,0,0,0,1,0,5,21,19,5,0,0,3,1,7,0,40,0
97,12.694,40,55,66,86,110,133,482.354,8,17,28,0,0,0,0,1,3,0,10,38,41,7,3,0,3,12,22,3,79,0
