,LDI,Mac,Mnc,Mpc,QCmax,QCmin,QCss,QHmax,QHmin,QHss,QNmax,QNmin,QNss,QOmax,QOmin,QOss,Qass,Qmax,Qmin,Rnc,Rpc,SPP,Tac,Tnc,Tpc
915,0.196,0.065,-0.11,0.046,0.305,-0.065,0.25,0.071,0.023,0.049,0.0,0.0,0.0,-0.252,-0.465,0.56,0.86,0.305,-0.465,0.211,0.138,0.77,4.416,-2.208,2.208
916,0.02,0.051,-0.058,0.046,0.007,-0.062,0.021,0.063,0.032,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.063,-0.092,0.2,0.135,0.155,0.924,-0.462,0.462
917,0.178,0.108,-0.124,0.096,0.211,-0.062,0.06,0.169,0.062,0.066,-0.329,-0.329,0.108,-0.279,-0.279,0.078,0.311,0.211,-0.329,0.379,0.243,0.54,1.734,-0.867,0.867
918,0.167,0.08,-0.11,0.063,0.221,-0.057,0.064,0.169,0.028,0.05,-0.326,-0.326,0.106,-0.275,-0.275,0.076,0.297,0.221,-0.326,0.369,0.25,0.547,1.766,-0.883,0.883
919,0.275,0.101,-0.253,0.063,0.338,-0.065,0.234,0.16,0.023,0.19,-0.385,-0.385,0.148,-0.246,-0.46,1.552,2.124,0.338,-0.46,0.096,0.07,0.798,9.618,-4.809,4.809
920,0.075,0.056,-0.094,0.04,0.046,-0.065,0.022,0.21,0.023,0.06,0.0,0.0,0.0,-0.396,-0.396,0.157,0.239,0.21,-0.396,0.526,0.279,0.606,1.507,-0.754,0.754
921,0.099,0.062,-0.108,0.043,0.046,-0.065,0.016,0.21,0.023,0.058,0.0,0.0,0.0,-0.396,-0.396,0.157,0.23,0.21,-0.396,0.612,0.324,0.606,1.295,-0.647,0.647
922,0.404,0.153,-0.306,0.102,0.319,0.074,0.132,0.067,0.055,0.019,-0.198,-0.198,0.039,-0.251,-0.468,0.282,0.472,0.319,-0.468,0.511,0.348,0.787,1.834,-0.917,0.917
923,0.113,0.081,-0.096,0.07,0.118,-0.056,0.026,0.293,0.028,0.103,0.0,0.0,0.0,-0.508,-0.508,0.258,0.386,0.293,-0.508,0.658,0.38,0.801,1.542,-0.771,0.771
924,0.098,0.088,-0.103,0.077,0.031,-0.046,0.008,0.156,0.064,0.065,-0.399,-0.399,0.159,0.0,0.0,0.0,0.235,0.156,-0.399,0.646,0.253,0.555,1.235,-0.618,0.618
925,0.474,0.144,-0.361,0.09,0.306,0.056,0.206,0.067,0.039,0.033,0.0,0.0,0.0,-0.252,-0.469,0.567,0.806,0.306,-0.469,0.325,0.212,0.775,2.885,-1.443,1.443
926,0.183,0.076,-0.14,0.053,0.085,-0.045,0.03,0.063,0.027,0.025,0.0,0.0,0.0,-0.37,-0.373,0.276,0.33,0.085,-0.373,0.444,0.101,0.458,1.68,-0.84,0.84
927,0.077,0.053,-0.097,0.037,0.001,-0.063,0.014,0.119,0.023,0.038,-0.328,-0.328,0.108,0.0,0.0,0.0,0.159,0.119,-0.328,0.561,0.203,0.447,1.17,-0.585,0.585
