,EstateVSA0,EstateVSA1,EstateVSA10,EstateVSA2,EstateVSA3,EstateVSA4,EstateVSA5,EstateVSA6,EstateVSA7,EstateVSA8,EstateVSA9,LabuteASA,MRVSA0,MRVSA1,MRVSA2,MRVSA3,MRVSA4,MRVSA5,MRVSA6,MRVSA7,MRVSA8,MRVSA9,MTPSA,PEOEVSA0,PEOEVSA1,PEOEVSA10,PEOEVSA11,PEOEVSA12,PEOEVSA13,PEOEVSA2,PEOEVSA3,PEOEVSA4,PEOEVSA5,PEOEVSA6,PEOEVSA7,PEOEVSA8,PEOEVSA9,VSAEstate0,VSAEstate1,VSAEstate10,VSAEstate2,VSAEstate3,VSAEstate4,VSAEstate5,VSAEstate6,VSAEstate7,VSAEstate8,VSAEstate9,slogPVSA0,slogPVSA1,slogPVSA10,slogPVSA11,slogPVSA2,slogPVSA3,slogPVSA4,slogPVSA5,slogPVSA6,slogPVSA7,slogPVSA8,slogPVSA9
342,11.507,5.818,0.0,0.0,6.197,0.0,0.0,4.984,4.984,5.734,9.185,49.538,4.39,0.0,9.968,0.0,0.0,5.734,22.498,0.0,0.0,5.818,71.77,5.734,4.984,5.817,0.0,0.0,5.69,9.185,4.984,0.0,0.0,0.0,0.0,6.197,5.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.141,19.359,0.0,11.423,9.968,0.0,0.0,0.0,5.817,0.0,10.991,0.0,0.0,0.0,10.208
343,52.481,30.964,4.39,25.683,5.573,6.924,13.0,6.924,0.0,4.737,24.597,175.407,33.724,0.0,0.0,22.666,83.091,6.607,11.649,0.0,0.0,17.536,100.9,14.95,14.384,12.39,5.783,0.0,5.969,4.39,0.0,0.0,19.421,50.519,30.092,6.104,11.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.935,63.231,0.0,0.0,51.73,0.0,0.0,19.12,22.666,65.717,11.649,0.0,0.0,0.0,4.39
344,17.709,16.938,0.0,0.0,12.133,24.265,12.133,0.0,5.317,5.107,17.966,112.221,23.072,0.0,0.0,0.0,6.176,5.317,59.658,0.0,0.0,17.344,49.33,10.423,0.0,0.0,0.0,0.0,12.146,4.795,13.171,0.0,18.199,30.332,5.687,16.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.777,27.306,0.0,5.317,11.076,0.0,0.0,6.176,0.0,15.921,48.531,0.0,0.0,0.0,24.546
345,11.787,30.316,0.0,11.381,0.0,29.426,18.539,0.0,4.984,4.737,13.979,125.673,18.716,0.0,14.451,0.0,13.468,13.655,47.295,0.0,5.687,11.876,64.43,9.637,9.362,5.694,0.0,5.907,5.969,14.169,0.0,0.0,0.0,25.123,7.048,30.096,12.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.095,44.072,0.0,0.0,39.982,0.0,0.0,11.282,5.817,33.464,24.526,0.0,5.687,0.0,4.39
346,17.215,16.992,0.0,11.938,18.051,12.263,4.567,6.924,0.0,5.107,13.979,107.644,14.291,0.0,4.567,0.0,25.807,0.0,45.497,0.0,0.0,16.872,59.3,9.674,4.795,0.0,5.429,0.0,5.969,9.185,0.0,0.0,0.0,37.462,17.625,5.517,11.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.331,38.669,0.0,5.429,15.643,0.0,0.0,6.421,5.817,35.308,23.124,0.0,10.903,0.0,4.39
347,76.276,24.836,8.781,0.0,6.076,19.076,20.771,0.0,0.0,9.474,19.802,185.194,38.057,0.0,0.0,22.666,82.394,6.607,23.801,0.0,0.0,11.566,93.06,19.687,9.589,28.623,0.0,0.0,0.0,8.781,0.0,0.0,13.0,63.677,16.748,12.208,12.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.589,54.328,0.0,0.0,63.823,0.0,0.0,19.063,22.666,46.957,23.801,0.0,0.0,0.0,8.781
348,34.122,29.823,4.39,19.262,5.573,19.076,13.0,13.847,0.0,0.0,19.802,159.078,24.193,0.0,0.0,28.584,70.752,0.0,23.801,0.0,0.0,11.566,74.6,10.213,9.589,17.235,0.0,0.0,0.0,4.39,0.0,0.0,25.497,63.519,16.748,6.104,5.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.873,52.461,0.0,0.0,39.153,0.0,0.0,9.589,28.584,53.378,23.801,0.0,0.0,0.0,4.39
349,17.066,0.0,0.0,6.197,0.0,0.0,4.984,4.984,0.0,0.0,13.979,48.359,4.39,0.0,9.968,0.0,0.0,0.0,32.852,0.0,0.0,0.0,65.72,4.984,9.779,0.0,5.817,5.559,5.69,4.795,4.39,0.0,0.0,0.0,6.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.985,22.015,0.0,11.249,9.968,0.0,0.0,0.0,5.817,0.0,15.786,0.0,0.0,0.0,4.39
350,17.704,0.0,0.0,11.127,5.563,6.066,19.056,30.332,0.0,5.107,9.185,104.705,14.291,0.0,0.0,0.0,12.842,0.0,59.912,0.0,11.127,5.969,37.3,5.107,4.795,0.0,0.0,0.0,5.969,4.39,0.0,0.0,42.465,24.117,5.563,5.918,5.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.967,34.7,0.0,0.0,11.076,0.0,0.0,4.795,5.817,18.405,48.531,0.0,11.127,0.0,4.39
351,5.539,23.46,0.0,6.669,62.132,24.265,0.0,42.465,27.249,0.0,13.575,205.11,13.575,0.0,10.217,0.0,37.14,31.203,101.624,0.0,0.0,11.595,35.58,15.117,4.795,0.0,5.907,0.0,0.0,8.781,0.0,0.0,42.465,79.753,24.695,6.669,17.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.003,53.081,0.0,10.217,42.649,0.0,0.0,4.795,11.634,42.728,78.863,0.0,0.0,0.0,14.468
