,AW,Arto,BertzCT,DZ,GMTI,Geto,Hato,Ipc,J,MZM1,MZM2,Platt,Pol,Qindex,Sito,Thara,Tigdi,Tsch,W,Xu,ZM1,ZM2,diametert,petitjeant,radiust
975,4.118,2.118,2.668,36.0,3.379,2.028,1.925,4.007,2.08,5.194,0.914,46,22.0,10.0,5.22,50.125,3.369,2400.0,560.0,17.328,82,92,10.0,0.5,5.0
976,2.873,2.0,2.428,23.5,2.746,1.849,1.692,2.464,2.857,4.583,0.644,28,12.0,6.0,2.937,25.983,2.775,647.0,158.0,11.059,50,54,6.0,0.5,3.0
977,3.0,2.0,2.473,28.0,2.898,1.774,1.576,2.789,3.192,6.396,0.769,38,18.0,9.0,3.238,34.717,3.07,931.0,234.0,12.768,64,72,6.0,0.5,3.0
978,3.176,2.0,2.577,35.333,2.989,1.753,1.541,2.937,3.268,7.257,0.726,42,20.0,10.0,3.414,38.867,3.175,1140.0,289.0,13.742,70,79,6.0,0.5,3.0
979,3.061,2.0,2.449,27.0,2.844,1.861,1.714,2.745,2.988,4.833,0.915,30,15.0,6.0,3.238,29.66,2.901,810.0,202.0,12.088,54,60,7.0,0.429,4.0
980,2.955,2.0,2.486,28.0,2.823,1.817,1.636,2.684,3.134,5.444,0.809,32,16.0,7.0,3.113,30.15,2.925,782.0,195.0,11.922,56,63,6.0,0.5,3.0
981,3.571,2.0,2.583,32.25,3.054,1.79,1.6,2.968,2.895,6.646,0.708,40,17.0,9.0,3.539,37.431,3.1,1288.0,325.0,14.255,68,74,8.0,0.5,4.0
982,2.417,2.0,2.367,21.5,2.471,1.817,1.636,2.116,2.978,4.083,0.519,24,8.0,6.0,2.334,19.317,2.502,366.0,87.0,8.764,42,46,5.0,0.4,3.0
983,2.985,2.0,2.482,27.5,2.831,1.817,1.636,2.674,3.122,5.444,0.705,32,15.0,7.0,3.113,30.017,2.917,792.0,197.0,11.962,56,62,6.0,0.5,3.0
984,2.985,2.0,2.478,28.0,2.831,1.817,1.636,2.674,3.122,5.444,0.705,32,15.0,7.0,3.113,30.017,2.917,792.0,197.0,11.962,56,62,6.0,0.5,3.0
985,3.154,2.353,2.887,36.0,3.345,2.269,2.17,4.328,2.272,4.028,0.739,60,32.0,19.0,6.049,57.519,3.538,2053.0,429.0,16.144,100,126,7.0,0.429,4.0
986,4.659,2.25,2.881,51.0,3.778,2.135,2.0,5.71,1.687,7.0,1.324,78,42.0,21.0,7.906,89.69,3.933,5696.0,1286.0,22.876,132,161,12.0,0.5,6.0
987,4.242,2.0,2.572,40.0,3.359,1.876,1.742,4.041,2.846,6.944,1.308,44,24.0,7.0,4.919,53.548,3.469,2528.0,649.0,18.126,80,89,11.0,0.455,6.0
988,4.242,2.0,2.623,40.0,3.359,1.876,1.742,4.041,2.908,6.944,1.308,44,24.0,7.0,4.919,53.548,3.469,2528.0,649.0,18.126,80,89,11.0,0.455,6.0
989,4.292,2.211,2.865,39.5,3.533,2.145,2.073,4.572,2.068,4.806,0.933,56,28.0,14.0,6.299,60.988,3.55,3265.0,734.0,19.002,98,114,10.0,0.5,5.0
990,3.961,2.111,2.771,40.0,3.39,1.963,1.8,4.119,2.438,6.667,1.077,52,28.0,12.0,5.271,56.523,3.501,2536.0,606.0,17.836,90,105,10.0,0.5,5.0
991,4.384,2.1,2.773,45.0,3.52,1.938,1.765,4.513,2.409,7.778,1.285,58,32.0,13.0,5.748,65.562,3.636,3432.0,833.0,19.747,100,117,12.0,0.5,6.0
992,3.642,2.125,2.714,35.0,3.26,1.993,1.846,3.713,2.423,5.556,0.85,46,23.0,11.0,4.794,47.403,3.33,1868.0,437.0,16.002,80,92,9.0,0.444,5.0
993,3.208,2.25,2.823,33.0,3.243,2.135,2.0,3.936,2.586,4.667,0.867,52,27.0,15.0,5.271,50.569,3.412,1736.0,385.0,15.435,88,108,7.0,0.429,4.0
994,3.883,2.211,2.876,40.5,3.478,2.113,2.0,4.525,2.31,5.417,0.931,58,30.0,15.0,6.174,63.135,3.613,2931.0,664.0,18.52,100,118,9.0,0.444,5.0
995,4.588,2.111,2.719,38.5,3.478,2.026,1.929,4.199,1.879,5.444,0.976,48,23.0,10.0,5.521,53.317,3.418,2994.0,702.0,18.547,86,96,11.0,0.455,6.0
996,3.842,2.211,2.907,42.0,3.457,2.05,1.869,4.471,2.408,6.639,1.013,62,32.0,17.0,5.924,64.013,3.616,2858.0,657.0,18.382,104,126,9.0,0.444,5.0
997,2.788,2.0,2.529,27.167,2.791,1.774,1.565,2.593,3.374,6.056,0.704,34,17.0,8.0,2.988,30.817,2.973,738.0,184.0,11.687,58,66,5.0,0.4,3.0
998,2.509,2.182,2.604,26.0,2.772,2.043,1.886,2.711,2.902,3.694,0.539,34,14.0,10.0,3.414,28.067,2.865,632.0,138.0,10.602,58,68,5.0,0.4,3.0
999,3.484,2.0,2.558,32.0,3.046,1.842,1.68,3.104,2.844,5.944,0.83,36,17.0,7.0,3.715,37.174,3.112,1258.0,317.0,14.184,64,70,7.0,0.429,4.0
